Theta_deg,Bx,By,Cx,Cy,Ex,Ey,Fx,Fy,Hx,Hy,FAx,FAy,FBx,FBy,FCx,FCy,FDx,FDy,FEx,FEy,FFx,FFy,FGx,FGy,InputTorque
10,2.94660636197242,15.4703966808126,22.6372894616125,25.1283984963823,15.3096623670661,34.8908716032989,40.2409224159012,31.364928838965,42.6204612079506,24.1824644194825,53.3193186853628,210.187274440018,-53.3193186853628,-112.087274440018,-1.84209514882399,27.7824780513874,-1.84209514882399,125.882478051387,-51.4772235365388,-41.7697524914054,-51.4772235365388,56.3302475085946,-51.4772235365388,254.430247508595,-1264.74653913605
11,2.74703768858613,15.3979082106189,22.4056273749409,25.1210687844008,15.0457090480752,34.859220673844,39.9681795317424,31.2716776440341,42.4840897658712,24.1358388220171,57.8413697481275,214.298982491771,-57.8413697481275,-116.198982491771,-2.83339741025028,23.0327227358847,-2.83339741025028,121.132722735885,-55.0079723378772,-41.1317052276557,-55.0079723378772,56.9682947723443,-55.0079723378772,255.068294772344,-1362.06831770262
12,2.54876450871928,15.3219478271701,22.1750050205795,25.1102410068116,14.7828363473182,34.8239345528348,39.6960704805486,31.1728025334685,42.3480352402743,24.0864012667343,62.3118788144098,218.454089425907,-62.3118788144098,-120.354089425907,-3.67185075471686,18.2019848348526,-3.67185075471686,116.301984834853,-58.6400280596929,-40.4560742607599,-58.6400280596929,57.6439257392401,-58.6400280596929,255.74392573924,-1459.54933617039
13,2.35184721830315,15.2425386687351,21.9454715202825,25.0959587203153,14.5210833941607,34.7850485100067,39.4246015607903,31.0682242036462,42.2123007803951,24.0341121018231,66.7377378641593,222.659134754967,-66.7377378641593,-124.559134754967,-4.35407506600329,13.2801681516927,-4.35407506600329,111.380168151693,-62.383662798156,-39.7393029066598,-62.383662798156,58.3606970933402,-62.383662798156,256.46069709334,-1557.263381241
14,2.156345800252,15.1597049241126,21.7170755085639,25.078265972892,14.2604891442301,34.7425983239254,39.1537754334395,30.9578529264835,42.0768877167198,23.9789264632418,71.1261998809694,226.921338774566,-71.1261998809694,-128.821338774566,-4.87584703258792,8.25603702030842,-4.87584703258792,106.356037020308,-66.2503528483815,-38.9773757948743,-66.2503528483815,59.1226242051257,-66.2503528483815,257.222624205126,-1655.2946601153
15,1.96231980619162,15.0734718252638,21.4898651040501,25.0572073305787,14.0010923331753,34.6966202995414,38.8835905947655,30.8415871917768,41.9417952973827,23.9207935958884,75.4849801754936,231.248725584435,-75.4849801754936,-133.148725584435,-5.23199467767851,3.11701423533032,-5.23199467767851,101.21701423533,-70.2529854978151,-38.1657398197654,-70.2529854978151,59.9342601802346,-70.2529854978151,258.034260180235,-1753.73971241776
16,1.76982833831937,14.9838656396258,21.2638878812364,25.0328279013325,13.7429314322245,34.6471512832491,38.6140407639389,30.7193121050352,41.8070203819694,23.8596560525176,79.8223767960723,235.650272087266,-79.8223767960723,-137.550272087266,-5.41626708641815,-2.15106409731085,-5.41626708641815,95.9489359026892,-74.4061097096541,-37.2992079899553,-74.4061097096541,60.8007920100447,-74.4061097096541,258.900792010045,-1852.70971689636
17,1.57893003140109,14.890913662111,21.0391908426375,25.0051733561596,13.4860446054303,34.594228675604,38.3451141657207,30.5908974881245,41.6725570828603,23.7954487440622,84.1474153809921,240.136089864349,-84.1474153809921,-142.036089864349,-5.42117308561434,-7.5642482439205,-5.42117308561434,90.5357517560795,-78.7262422953778,-36.3718416204282,-78.7262422953778,61.7281583795718,-78.7262422953778,259.828158379572,-1952.33329898479
18,1.38968303491032,14.7946442067919,20.8158203913208,24.9742899476747,13.2304696685086,34.5378904418365,38.0767926831142,30.456195615679,41.5383963415571,23.7280978078395,88.4700254921408,244.717649017858,-88.4700254921408,-146.617649017858,-5.23778063736578,-13.1408441620047,-5.23778063736578,84.9591558379953,-83.2322448547751,-35.3768048558533,-83.2322448547751,62.7231951441467,-83.2322448547751,260.823195144147,-2052.75997895757
19,1.20214499531549,14.6950865982775,20.5938223038175,24.9402245262377,12.9762440491842,34.4781751202876,37.8090508476687,30.3150385012055,41.4045254238343,23.6575192506028,92.8012577960489,249.408056085665,-92.8012577960489,-151.308056085665,-4.85546597078167,-18.9018725786233,-4.85546597078167,79.1981274213767,-87.9457918252673,-34.3061835070417,-87.9457918252673,63.7938164929583,-87.9457918252673,261.893816492958,-2154.16444676295
20,1.01637303852016,14.5922711627796,20.3732417034024,24.903024553803,12.7234047489673,34.4151218288817,37.5418546254519,30.1672346212904,41.270927312726,23.5836173106452,97.1535547083808,254.222402339137,-97.1535547083808,-156.122402339137,-4.26159766946128,-24.8716449573322,-4.26159766946128,73.2283550426678,-92.8919570389195,-33.1507573818046,-92.8919570389195,64.9492426181954,-92.8919570389195,263.049242618195,-2256.75191428716
21,0.832423752461995,14.4862292188758,20.1541230337415,24.8627381156003,12.4719883062934,34.3487702697381,37.2751599435353,30.0125649317127,41.1375799717677,23.5062824658563,101.541091719929,259.178204716675,-101.541091719929,-161.078204716675,-3.4411355645576,-31.0784933879139,-3.4411355645576,67.0215066120861,-98.0999561553718,-31.899711328761,-98.0999561553718,66.2002886712391,-98.0999561553718,264.300288671239,-2360.76488725844
22,0.65035316987548,14.3769930679696,19.9365100329028,24.8194139297576,12.2220307609659,34.279160732017,37.0089108836557,29.8507779816882,41.0044554418278,23.4253889908441,105.980213234679,264.295970169586,-105.980213234679,-166.195970169586,-2.37611659902994,-37.5557056479417,-2.37611659902994,60.5442943520583,-103.604096635649,-30.5402645216439,-103.604096635649,67.5597354783561,-103.604096635649,265.659735478356,-2466.4918302626
23,0.470216751223836,14.2645959844507,19.7204457077294,24.7731013549644,11.9735676198493,34.2063340930835,36.7430374442848,29.6815838661232,40.8715187221424,23.3407919330616,110.489996406074,269.599926623808,-110.489996406074,-171.499926623808,-1.04498864738073,-44.3427374189453,-1.04498864738073,53.7572625810547,-109.445007758693,-29.0571892048624,-109.445007758693,69.0428107951376,-109.445007758693,267.142810795138,-2574.27838981871
24,0.292069367805195,14.1490722055596,19.505972308577,24.7238503962642,11.7266338237664,34.1303318180682,36.4774527361753,29.5046466617764,40.7387263680877,23.2523233308882,115.092990808289,275.118982203136,-115.092990808289,-177.018982203136,0.578263287701382,-51.4868044244948,0.578263287701382,46.6131955755052,-115.671254095991,-27.4321777786417,-115.671254095991,70.6678222213583,-115.671254095991,268.767822221358,-2684.54212477666
25,0.115965285038308,14.0304569209584,19.2931313044156,24.6717117090575,11.4812637155612,34.0511959578959,36.2120494241685,29.319574857792,40.6060247120842,23.159787428896,119.81620352825,280.888002269056,-119.81620352825,-182.788002269056,2.52527910071777,-59.0450038680282,2.52527910071777,39.0549961319718,-122.341482628968,-25.6429984010276,-122.341482628968,72.4570015989724,-122.341482628968,270.557001598972,-2797.79212379044
26,-0.0580418540672643,13.9087862620118,19.0819633583012,24.6167366013863,11.237491009291,33.968969145844,35.9466951509919,29.1259090921434,40.4733475754959,23.0629545460717,124.692432945187,286.949536993046,-124.692432945187,-188.849536993046,4.83489305388333,-67.0871866644521,4.83489305388333,31.0128133355479,-129.527325999071,-23.6623503285941,-129.527325999071,74.4376496714059,-129.527325999071,272.537649671406,-2914.65555570425
27,-0.229899045251297,13.7840972907813,18.8725083032212,24.5589770345661,10.9953487605206,33.883694592693,35.681226562795,28.9231062071108,40.3406132813975,22.9615531035554,129.76210789345,293.35620054894,-129.76210789345,-195.25620054894,7.55529099371546,-75.6999162561157,7.55529099371546,22.4000837438843,-137.317398887166,-21.4562842928246,-137.317398887166,76.6437157071754,-137.317398887166,274.743715707175,-3035.91425438413
28,-0.39955393914854,13.6564279887353,18.6648051183203,24.4984856222248,10.7548693376942,33.7954160805196,35.4154413774228,28.7105181785599,40.2077206887114,22.8552590892799,135.075875972172,300.17401427841,-135.075875972172,-202.07401427841,10.7470348365932,-84.992035897478,10.7470348365932,13.107964102522,-145.822910808765,-18.9819783809317,-145.822910808765,79.1180216190683,-145.822910808765,277.218021619068,-3162.55615840922
29,-0.566954857234836,13.5258172451801,18.4588919055145,24.4353156277997,10.5160843945656,33.7041779551845,35.1490876535378,28.4873637507619,40.0745438267689,22.7436818753809,140.69833102475,307.487212833488,-140.69833102475,-209.387212833488,14.4874000035276,-95.1026786250839,14.4874000035276,2.99732137491607,-155.185731028278,-16.1845342084038,-155.185731028278,81.9154657915962,-155.185731028278,280.015465791596,-3295.84931098421
30,-0.732050807568875,13.3923048454133,18.2548058665037,24.3695209605412,10.2790248436716,33.6100251175572,34.8818489572387,28.2526894330142,39.9409244786194,22.6263447165071,146.713524127002,315.405336403983,-146.713524127002,-217.305336403983,18.8767595002371,-106.213096740553,18.8767595002371,-8.11309674055326,-165.590283627239,-12.9922396634293,-165.590283627239,85.1077603365707,-165.590283627239,283.207760336571,-3437.45113748839
31,-0.894791500324876,13.2559314586052,18.0525832801922,24.3011561700642,10.0437208308376,33.5130030135217,34.6133233435738,28.0053145359345,39.8066616717869,22.5026572679672,153.233362485114,324.074017643098,-153.233362485114,-225.974017643098,24.0482677415762,-118.564668375289,24.0482677415762,-20.4646683752894,-177.281630226691,-9.30934926780848,-177.281630226691,88.7906507321915,-177.281630226691,286.890650732192,-3589.57477720776
32,-1.05512736311131,13.1167386254107,17.8522594805301,24.2302764394866,9.81020171070883,33.4131576228003,34.3429927006074,27.7437514593689,39.6714963503037,22.3718757296845,160.410872019717,333.691979347333,-160.410872019717,-235.591979347333,30.1830779145424,-132.487294652671,30.1830779145424,-34.3872946526709,-190.593949934259,-5.00468469466224,-190.593949934259,93.0953153053377,-190.593949934259,291.195315305338,-3755.25138940883
33,-1.21300955607117,12.974768745315,17.6538688347893,24.1569375771868,9.57849602330219,33.3105354466311,34.0701764800276,27.4660860794405,39.5350882400138,22.2330430397203,168.462041376255,344.538969770557,-168.462041376255,-246.438969770557,37.535281026502,-148.446107954154,37.535281026502,-50.3461079541537,-205.997322402757,0.107138183596522,-205.997322402757,98.2071381835965,-205.997322402757,296.307138183597,-3938.7615961548
34,-1.36838998675904,12.830065063719,17.4574447222886,24.0811960072117,9.34863147157975,33.205183494332,33.7939589203862,27.1697907216426,39.3969794601931,22.0848953608213,177.703679393602,357.024069904456,-177.703679393602,-258.924069904456,46.4749087805029,-167.122309100318,46.4749087805029,-69.0223091003184,-224.178588174105,6.29823919586242,-224.178588174105,104.398239195862,-224.178588174105,302.498239195862,-4146.38217387765
35,-1.52122132479054,12.6826716587658,17.2630195135852,24.0031087583613,9.12063490004587,33.0971492687834,33.5130686101082,26.8514165095137,39.2565343050541,21.9257082547568,188.62328511102,371.774649584253,-188.62328511102,-273.674649584253,57.566893120997,-189.562150453216,57.566893120997,-91.4621504532156,-246.190178232017,13.9875008689628,-246.190178232017,112.087500868963,-246.190178232017,310.187500868963,-4387.76221788964
36,-1.67145701625957,12.5326334279144,17.0706245501493,23.9227334519737,8.89453227437378,32.9864807508564,33.2256659437491,26.506053730745,39.1128329718746,21.7530268653725,202.018728132617,389.813798680482,-202.018728132617,-291.713798680482,71.728098527054,-217.474348441999,71.728098527054,-119.374348441999,-273.74682665967,23.8605497615163,-273.74682665967,121.960549761516,-273.74682665967,320.060549761516,-4678.67038568425
37,-1.81905129791916,12.3799960742634,16.8802901245427,23.8401282884311,8.67034866207035,32.8732263828159,32.9289350462637,26.1263021472379,38.9644675231318,21.5631510736189,219.308515910013,412.953537217681,-219.308515910013,-314.853537217681,90.5742965398852,-253.889756991377,90.5742965398852,-155.789756991377,-309.882812449898,37.1362197736959,-309.882812449898,135.236219773696,-309.882812449898,333.336219773696,-5047.08846459541
38,-1.96395921112134,12.2248060926293,16.6920454611201,23.7553520324063,8.4481082141899,32.7574350507236,32.6182038260093,25.7000645690563,38.8091019130046,21.3500322845282,243.329644777851,444.803565529588,-243.329644777851,-346.703565529587,117.307621596818,-304.855209311964,117.307621596818,-206.755209311964,-360.637266374668,56.2516437823761,-360.637266374668,154.351643782376,-360.637266374668,352.451643782376,-5548.85796394926
39,-2.10613661551199,12.067110755384,16.5059186972778,23.6684639968664,8.22783414811067,32.6391560658676,32.2846893293243,25.2049298929486,38.6423446646622,21.1024649464743,280.896331276341,493.998450699763,-280.896331276341,-395.898450699763,159.546887505847,-384.857450820121,159.546887505847,-286.757450820121,-440.443218782188,87.0590001203585,-440.443218782188,185.159000120358,-440.443218782188,383.259000120359,-6317.78319411971
40,-2.24554020247643,11.9069580980547,16.321936865271,23.5795240258476,8.00954873138965,32.5184391452404,31.9077521038409,24.5890081713961,38.4538760519204,20.794504085698,354.895873981866,589.413423294708,-354.895873981866,-491.313423294708,242.627714616448,-542.421927383591,242.627714616448,-444.321927383591,-597.523588598314,149.208504088883,-597.523588598314,247.308504088883,-597.523588598314,445.408504088883,-7802.09855876611
41,-2.38212750833163,11.7443969046923,16.1401258746265,23.4885924760158,7.79327326671379,32.3953343910924,31.4001006709743,23.6364703148863,38.2000503354872,20.3182351574432,672.848091571105,991.482280568498,-672.848091571105,-893.382280568498,593.522372174965,-1216.09494242165,593.522372174965,-1117.99494242165,-1266.37046374607,420.812661853154,-1266.37046374607,518.912661853154,-1266.37046374607,717.012661853154,-14052.8225019528
